rearDb_name,mbie_maps_name
Ashburton District,Ashburton
Auckland,Auckland
Buller District,Buller
Carterton District,Carterton
Central Hawke's Bay District,Central Hawke's Bay
Central Otago District,Central Otago
Christchurch City,Christchurch City
Clutha District,Clutha
Dunedin City,Dunedin City
Far North District,Far North
Gisborne District,Gisborne
Gore District,Gore
Grey District,Grey
Hamilton City,Hamilton City
Hastings District,Hastings
Hauraki District,Hauraki
Horowhenua District,Horowhenua
Hurunui District,Hurunui
Invercargill City,Invercargill City
Kaikoura District,Kaikoura
Kaipara District,Kaipara
Kapiti Coast District,Kapiti Coast
Kawerau District,Kawerau
Lower Hutt City,Lower Hutt City
Mackenzie District,Mackenzie
Manawatu District,Manawatu
Marlborough District,Marlborough
Masterton District,Masterton
Matamata-Piako District,Matamata-Piako
Napier City,Napier City
Nelson City,Nelson City
New Plymouth District,New Plymouth
Opotiki District,Opotiki
Otorohanga District,Otorohanga
Palmerston North City,Palmerston North City
Porirua City,Porirua City
Queenstown-Lakes District,Queenstown-Lakes
Rangitikei District,Rangitikei
Rotorua District,Rotorua
Ruapehu District,Ruapehu
Selwyn District,Selwyn
South Taranaki District,South Taranaki
South Waikato District,South Waikato
South Wairarapa District,South Wairarapa
Southland District,Southland
Stratford District,Stratford
Tararua District,Tararua
Tasman District,Tasman
Taupo District,Taupo
Tauranga City,Tauranga City
Thames-Coromandel District,Thames-Coromandel
Timaru District,Timaru
Upper Hutt City,Upper Hutt City
Waikato District,Waikato
Waimakariri District,Waimakariri
Waimate District,Waimate
Waipa District,Waipa
Wairoa District,Wairoa
Waitaki District,Waitaki
Waitomo District,Waitomo
Wanganui District,Wanganui
Wellington City,Wellington City
Western Bay of Plenty District,Western Bay of Plenty
Westland District,Westland
Whakatane District,Whakatane
Whangarei District,Whangarei
