name,name_abbr,x_centre,y_centre,height
Lake Taupo RTO,LTA,156.2904,185.45,15
Rotorua RTO,ROT,156.2904,200.45,15
Ruapehu RTO,RUA,143.3,192.95,15
Wanganui RTO,WGU,143.3,177.95,15
Taranaki RTO,TKI,130.30962,185.45,15
Kapiti-Horowhenua RTO,KHO,143.3,162.95,15
Wairarapa RTO,WPA,156.2904,155.45,15
Wellington RTO,WGN,143.3,147.95,15
Manawatu RTO,MAN,156.2904,170.45,15
Bay of Plenty RTO,BOP,156.2904,215.45,15
Kawerau-Whakatane,KAW,169.2808,207.95,15
Gisborne RTO,GIS,182.27118,200.45,15
Hawke's Bay RTO,HKB,169.2808,192.95,15
Waikato RTO,WKO,130.30962,230.45,15
Coromandel RTO,COR,143.3,222.95,15
Auckland RTO,AUK,130.30962,245.45,15
Nelson Tasman RTO,NST,106.80962,138.2,15
Marlborough RTO,MBH,119.8,145.7,15
North Canterbury,NCN,106.8096,123.2,15
South Canterbury,SCN,93.81922,100.7,15
Queenstown RTO,QUT,41.8576,70.7,15
Dunedin RTO,DUN,67.8384,70.7,15
Lake Wanaka RTO,WAN,54.848,93.2,15
Christchurch,CHC,106.8096,108.2,15
West Coast RTO,WTC,80.82882,108.2,15
Southland RTO,STL,41.8576,55.7,15
Central Otago RTO,COT,67.8384,85.7,15
Waitaki RTO,WAI,80.8288,93.2,15
Fiordland RTO,FIL,28.8672,63.2,15
Clutha,CLU,54.848,63.2,15
Northland RTO,NTL,117.3192,252.95,15
