name,name_abbr,x_centre,y_centre,height
Wellington City,WEL,905.6,852.6,47
Porirua City,POR,905.6,899.6,47
Kapiti Coast,KAP,905.6,946.6,47
Horowhenua,HOR,905.6,993.6,47
Palmerston North City,PNC,905.6,1040.6,47
Wanganui,WGI,905.6,1087.6,47
Ruapehu,RUA,905.6,1134.6,47
South Waikato,SWA,905.6,1181.6,47
Stratford,STR,864.8969,1064.1,47
South Taranaki,STA,864.8969,1017.1,47
New Plymouth,NPY,824.1937,1040.6,47
Otorohanga,OTO,864.8969,1205.1,47
Waipa,WPA,864.8969,1252.1,47
Thames-Coromandel,THC,864.8969,1346.1,47
Hauraki,HAU,864.8969,1299.1,47
Auckland,AUK,824.1937,1369.6,47
Hamilton City,HAM,824.1937,1275.6,47
Waikato,WTO,824.1937,1322.6,47
Kaipara,KPH,783.4906,1346.1,47
Whangarei,WGA,783.4906,1393.1,47
Far North,FNH,742.7875,1416.6,47
Carterton,CTT,987.0062,899.6,47
Matamata-Piako,MPO,946.3031,1205.1,47
Western Bay of Plenty,WBP,946.3031,1158.1,47
Rangitikei,RKI,946.3031,1111.1,47
Manawatu,MAN,946.3031,1064.1,47
Tararua,TRU,946.3031,1017.1,47
Upper Hutt City,UHC,946.3031,970.1,47
Lower Hutt City,LHC,946.3031,923.1,47
Masterton,MAS,987.0062,946.6,47
Central Hawke's Bay,CHB,987.0062,993.6,47
Taupo,TAU,987.0062,1040.6,47
Rotorua,ROT,987.0062,1087.6,47
Tauranga City,TAC,987.0062,1134.6,47
Kawerau,KAW,1027.7093,1111.1,47
Hastings,HAS,1027.7093,1064.1,47
Whakatane,WTN,1027.7093,1158.1,47
Napier City,NCI,1068.4124,1087.6,47
Opotiki,OPO,1068.4124,1134.6,47
Gisborne,GIS,1109.1155,1158.1,47
Wairoa,WRA,1109.1155,1111.1,47
Nelson City,NEC,783.4906,876.1,47
South Wairarapa,SWP,946.3031,876.1,47
Marlborough,MAR,783.4906,829.1,47
Tasman,TSM,742.7875,852.6,47
Kaikoura,KAK,742.7875,805.6,47
Invercargill City,INV,498.5689,476.6,47
Buller,BUL,702.0844,829.1,47
Hurunui,HUR,702.0844,782.1,47
Waimakariri,WMK,702.0844,735.1,47
Selwyn,SEL,661.3813,758.6,47
Christchurch City,CHC,661.3813,711.6,47
Grey,GRE,620.6782,735.1,47
Ashburton,ASH,620.6782,688.1,47
Timaru,TIM,620.6782,641.1,47
Westland,WLA,579.9751,664.6,47
Waimate,WTE,579.9751,617.6,47
Mackenzie,MAC,539.272,641.1,47
Waitaki,WKI,539.272,594.1,47
Dunedin City,DUN,539.272,547.1,47
Central Otago,COT,498.5689,617.6,47
Queenstown-Lakes,QUL,498.5689,570.6,47
Gore,GOR,498.5689,523.6,47
Clutha,CLU,539.272,500.1,47
Southland,STH,457.8658,500.1,47
Waitomo,WMO,864.8969,1158.1,47
